symbol,price,price_change,price_percent_change
GATE,50.0,33.74,207.5
CNXC,65.04,19.36,42.38
SLNO,67.39,18.42,37.61
MLGO,15.94,4.08,34.4
WOOF,3.21,0.77,31.56
BIYA,6.39,1.5,30.67
KUKE,3.04,0.59,24.39
JFIN,14.84,2.74,22.64
HTZ,4.23,0.78,22.61
IBRX,3.36,0.58,20.86
QNTM,8.38,1.43,20.58
CAR,74.16,12.61,20.49
GRO,3.59,0.54,17.7
TNON,2.8,0.38,15.7
CATO,3.9,0.46,13.37
ASPI,4.73,0.54,12.89
SMTK,3.44,0.38,12.35
HMR,3.54,0.38,12.03
SATL,4.2,0.45,12.0
NIU,4.86,0.52,11.98
SIFY,4.78,0.51,11.94
MIST,2.25,0.24,11.94
ETNB,8.96,0.94,11.72
JYD,6.9,0.72,11.65
EPSM,5.38,0.56,11.62
PHH,11.83,1.23,11.6
VERO,3.65,0.37,11.28
DLTR,76.95,7.74,11.18
SLN,3.69,0.37,11.14
NCTY,14.6,1.45,11.03
MLKN,20.3,1.96,10.69
YRD,7.38,0.71,10.64
UPC,5.36,0.51,10.52
BIOX,4.84,0.46,10.5
NVCT,9.65,0.9,10.29
CRVO,8.5,0.79,10.25
AEVA,6.38,0.58,10.0
CLMT,13.45,1.22,9.98
AAPG,20.2,1.83,9.96
FORD,4.34,0.39,9.87
BZFD,2.36,0.21,9.77
ZGN,7.76,0.68,9.6
RXST,26.67,2.3,9.44
BKTI,32.0,2.73,9.33
CAAS,5.26,0.44,9.13
YOSH,16.2,1.35,9.09
SNBR,6.73,0.55,8.9
AMST,2.59,0.21,8.82
DNTH,19.87,1.6,8.76
PESI,8.15,0.65,8.67
LAZR,6.15,0.49,8.66
BOWN,7.32,0.57,8.44
NUS,7.51,0.58,8.37
EDAP,2.22,0.17,8.29
MASK,3.92,0.3,8.29
CGTL,4.1,0.31,8.18
WGO,37.58,2.82,8.11
VSTA,4.35,0.33,8.07
TATT,27.97,2.07,7.99
LANV,2.32,0.17,7.91
OM,12.11,0.86,7.64
TIL,19.36,1.37,7.62
RIVN,13.02,0.92,7.6
ORIC,6.29,0.44,7.52
CTRN,22.77,1.59,7.51
ATER,2.44,0.17,7.49
China,15.26,1.04,7.31
SKGR,12.68,0.83,7.0
TRVG,5.05,0.33,6.99
RZLT,2.92,0.19,6.96
XPOF,8.48,0.55,6.94
WNC,11.93,0.77,6.9
NUKK,15.5,1.0,6.9
DM,4.84,0.31,6.84
CMPR,45.3,2.89,6.81
MTSR,30.01,1.9,6.76
HYMC,3.48,0.22,6.75
AAP,40.37,2.55,6.74
ALMU,6.51,0.41,6.72
ZLAB,36.18,2.27,6.69
VRA,2.4,0.15,6.67
LRMR,2.4,0.15,6.67
FINV,10.46,0.65,6.63
SCS,11.3,0.7,6.6
VTEX,5.18,0.32,6.58
CCB,92.03,5.62,6.5
HAIN,4.16,0.25,6.39
HPP,3.01,0.18,6.36
PROP,5.7,0.34,6.34
NEOG,8.96,0.53,6.29
TTI,3.75,0.22,6.23
DTSS,2.39,0.14,6.22
GPRE,5.4,0.31,6.09
LSF,7.0,0.4,6.06
FUL,57.61,3.29,6.06
GOTU,3.35,0.19,6.01
ALC,96.8,5.48,6.0
PRM,10.62,0.6,5.99
OPRT,6.04,0.34,5.96
BTAI,2.31,0.13,5.96
